Event,Obs,Q,Type,Loc/Freq,Particulars_a,begin_datetime,max_datetime,end_datetime
5360,HOL,2,FLA,S08W37,SF,2015-01-07 15:52:00,2015-01-07 15:53:00,2015-01-07 15:58:00
5370,HOL,2,FLA,N07E03,SF,2015-01-07 17:19:00,2015-01-07 17:19:00,2015-01-07 17:26:00
5380,HOL,3,FLA,N06W00,SF,2015-01-07 21:41:00,2015-01-07 21:44:00,2015-01-07 21:51:00
5390,LEA,C,RSP,031-087,III/1,2015-01-07 22:15:00,,2015-01-07 22:15:00
5400,G15,5,XRA,1-8A,C1.6,2015-01-08 00:20:00,2015-01-08 00:24:00,2015-01-08 00:26:00
5400,PAL,G,RBR,245,110,2015-01-08 00:23:00,2015-01-08 00:23:00,2015-01-08 00:23:00
5400,PAL,C,RSP,074-180,III/1,2015-01-08 00:23:00,,2015-01-08 00:24:00
5400,PAL,G,RBR,410,220,2015-01-08 00:24:00,2015-01-08 00:24:00,2015-01-08 00:24:00
5410,LEA,C,RSP,065-180,CTM/1,2015-01-08 01:36:00,,2015-01-08 03:14:00
5410,LEA,3,FLA,S08W43,SF,2015-01-08 01:45:00,2015-01-08 01:45:00,2015-01-08 01:48:00
5410,LEA,C,RSP,031-084,VI/1,2015-01-08 02:03:00,,2015-01-08 02:48:00
5420,LEA,C,RSP,032-180,III/2,2015-01-08 02:42:00,,2015-01-08 02:43:00
5430,LEA,C,RSP,150-171,III/1,2015-01-08 03:59:00,,2015-01-08 04:00:00
5440,G15,5,XRA,1-8A,C1.3,2015-01-08 04:11:00,2015-01-08 04:16:00,2015-01-08 04:20:00
5450,G15,5,XRA,1-8A,C4.2,2015-01-08 04:25:00,2015-01-08 04:34:00,2015-01-08 04:39:00
5450,LEA,3,FLA,S09W44,1F,2015-01-08 04:27:00,2015-01-08 04:33:00,2015-01-08 04:49:00
5510,LEA,3,DSF,S10W41,9,2015-01-08 04:54:00,,2015-01-08 05:07:00
5460,LEA,3,FLA,S09W44,SF,2015-01-08 05:38:00,2015-01-08 05:38:00,2015-01-08 05:43:00
5470,CUL,C,RSP,080-210,III/1,2015-01-08 06:10:00,,2015-01-08 06:11:00
5610,CUL,C,RSP,018-170,III/1,2015-01-08 06:52:00,,2015-01-08 06:55:00
5480,LEA,C,RSP,032-124,III/1,2015-01-08 06:53:00,,2015-01-08 06:54:00
5490,LEA,C,RSP,034-124,VI/1,2015-01-08 07:49:00,,2015-01-08 08:52:00
5490,SVI,C,RSP,057-156,CTM/1,2015-01-08 08:07:00,,2015-01-08 08:52:00
5630,LEA,3,DSF,S26W11,5,2015-01-08 09:43:00,,2015-01-08 23:45:00
5500,SVI,C,RSP,075-139,III/1,2015-01-08 11:03:00,,2015-01-08 11:08:00
